actors,categories,comments,description,director,image_paths,image_urls,images,points,rank,title,year
,,9723,影片露出一股悲悯情怀和伤感的黑色幽默，它将历史浓缩为个人命运，而命如蝼蚁般的个人命运，只能是枉自兴叹的生命之痛。,,full/98dae6bc6417e4cfa35a6a69471b96111208192f.jpg,http://img31.mtime.cn/mt/2014/06/30/093845.87930039_96X128.jpg,,8.6,57,活着 To Live (1994),1994
,,8787,本片为Mahavir Singh Phogat教授自己的两个女儿Babita Kumari和Geeta Phogat摔跤的传记片。Geeta后来成为了印度第一位女性摔跤..,,full/a68f29af4ce3c7ffb8aa23602b02657d35604719.jpg,http://img5.mtime.cn/mt/2017/05/05/095011.35177856_96X128.jpg,,8.6,58,摔跤吧！爸爸 Dangal (2016),2016
,,27464,印度少年派出海后遭遇灾难，身边只有一艘救生艇跟一只凶猛的孟加拉虎。派有可能度过这场灾难吗？他要如何和这只老虎共处呢？,,full/64203d99d675fb2dea0cbbab461a3661d4b53541.jpg,http://img31.mtime.cn/mt/2014/01/09/164644.22953541_96X128.jpg,,8.8,26,少年派的奇幻漂流 Life of Pi (2012),2012
,,13928,影片讲述了一个发生在两位笔友之间的非常简单的故事。玛丽·丁克尔（托妮·科莱特 配音）是一个居住在墨尔本市区的胖乎乎的有..,,full/a69a319a71bb832c03ec8670b0b4992119495325.jpg,http://img31.mtime.cn/mt/2014/02/23/064812.38936535_96X128.jpg,,8.8,27,玛丽和马克思 Mary and Max (2009),2009
,,13495,故事讲述一位大学教授（理查·基尔饰）收养了一只小秋田犬，取名“八公”。之后的每天，八公早上将教授送到车站，傍晚等待教授..,,full/48cdabae0f0e2955002ca2b5272ba1bb35f4a5d2.jpg,http://img31.mtime.cn/mt/2014/02/23/060511.92518039_96X128.jpg,,8.8,28,忠犬八公的故事 Hachiko: A Dog's Story (2009),2009
,,9177,取材于小说《生存》，提炼了“农民愚昧”和“战争荒诞”的一面，笔锋直指国人弱点，将更多忧患意识注入影像化的故事中。,,full/1a3b9c31062cbb787650fc37453a3e7473b4a892.jpg,http://img31.mtime.cn/mt/2014/02/22/224614.64675869_96X128.jpg,,8.7,40,鬼子来了 Devils on the Doorstep (2000),2000
,,7914,影片讲述一个鞋匠家庭出身的12岁小男孩米格尔，自幼有一个音乐梦，但音乐却是被家庭所禁止的，他们认为自己被音乐诅咒了。在米..,,full/55424c0834f93d6595772883e3bdbccf3f80708a.jpg,http://img5.mtime.cn/mt/2017/12/02/172158.15874011_96X128.jpg,,9.0,13,寻梦环游记 Coco (2017),2017
,,6192,这部以陪审团为主角的法庭戏节奏利落，结构紧凑，主题严肃，丝毫不因故事场景的局限性而显得沉闷，而且众多演员均有精彩表演。,,full/bdbf8a82c4a9b65c584465fc9889457151833dd0.jpg,http://img5.mtime.cn/mt/2018/04/10/093745.15273839_96X128.jpg,,9.0,14,十二怒汉 12 Angry Men (1957),1957
,,61682,影片以1912年泰坦尼克号邮轮在其处女启航时触礁冰山而沉没的事件为背景，描述了处于不同阶层的两个人——穷画家杰克和贵族女露..,,full/ba4741b1fbacb6a6e88ee640ad8ab509a9ef1a15.jpg,http://img21.mtime.cn/mt/2012/04/06/101417.97070113_96X128.jpg,,8.9,15,泰坦尼克号 Titanic (1997),1997
,,8514,《幽灵公主》主题是人与自然的关系，描述了人类为了发展技术力量不断破坏自然，从而受到自然的报复为之付出代价的故事。,,full/f8ba1e7a7c32563c0dab24287b6a73b024a9a22e.jpg,http://img31.mtime.cn/mt/2014/02/22/230741.66801332_96X128.jpg,,8.6,59,幽灵公主 Princess Mononoke (1997),1997
,,7720,本片是2011年法国影坛的最大黑马，上映四周观影人次超过1千8百万，成为年度票房冠军，并获东京电影节最佳影片奖。,,full/6f33c25047223beb317e80eb57bf686529af245f.jpg,http://img31.mtime.cn/mt/2015/05/08/112850.71599127_96X128.jpg,,8.6,60,无法触碰 Intouchables (2011),2011
,,13010,这是一部纪录迈克尔·杰克逊在生前准备告别演唱会的影片，完整呈现他对演唱会每个环节事必躬亲参与并提供创意的各个细节。,,full/f8301c975bec52b159216d818e2398ec3bc07001.jpg,http://img31.mtime.cn/mt/2014/02/23/075434.20623674_96X128.jpg,,8.8,29,迈克尔·杰克逊：就是这样 This Is It (2009),2009
,,9203,勇哥（徐峥）本来是卖印度神油保健品，机缘凑巧下为了帮慢粒白血病人，从印度带回了天价药（格列宁）的仿制药并私自贩卖，引起..,,full/facaf3b8a85327f99e4584f19610b647923305b9.jpg,http://img5.mtime.cn/mt/2018/06/21/102400.44145684_96X128.jpg,,8.8,30,我不是药神 Dying To Survive (2018),2018
,,8237,影片改编自韩国“三大未解悬案”之一的“雨夜连环强奸杀人案”，拍摄手法娴熟，张弛有度，确立了奉俊昊导演的个人表现风格。,,full/4df6620ef1a04eff53857292b6a7546cb8e6aa9c.jpg,http://img31.mtime.cn/mt/2014/02/22/225455.29950217_96X128.jpg,,8.7,41,杀人回忆 Memories of Murder (2003),2003
,,6349,1938年奥地利萨尔兹堡，年轻活泼的修女玛丽亚到退役海军上校冯·特拉普家，照顾他的七个孩子。冯·特拉普上校虽然冷漠严厉，但..,,full/4fdcab0d81004f00338ca0915848c02fbf9a834f.jpg,http://img31.mtime.cn/mt/2014/02/22/231733.17933675_96X128.jpg,,8.7,42,音乐之声 The Sound of Music (1965),1965
,,27685,这部具强烈芬奇色彩、以死亡为主题的黑色喜剧一反好莱坞商业片模式，映像狂放，手法天马行空，情景怪诞核突，可谓一部视觉杰作。,,full/239044ea2ad1a3af43f0667a4376414ecef787f6.jpg,http://img31.mtime.cn/mt/2014/10/01/014751.44127701_96X128.jpg,,8.9,16,搏击俱乐部 Fight Club (1999),1999
,,10025,《美国往事》并不是一部风格明显的类型片，从某种程度上说这是一部纯粹的作者电影，它承载了赛尔乔·莱翁内所有的“美国情结”。,,full/a469ebdce70bf5819ed997de9c7e819c3ef3d26b.jpg,http://img31.mtime.cn/mt/2014/02/12/140856.23296398_96X128.jpg,,8.9,17,美国往事 Once Upon a Time in America (1984),1984
,,6278,将近三个小时的影像细腻而漫长，其间没有大起大落，只是一直温和的诉说，讲述那些我们日夜重复的事情。,,full/5321c8ec46f7a31c6b1bbe57a7cf7d26f1272e82.jpg,http://img31.mtime.cn/mt/2013/12/04/173625.19714267_96X128.jpg,,8.7,43,一一 Yi yi: A One and a Two (2000),2000
,,4844,影片聚焦于逃脱于社会秩序之外的主人翁是如何在法律和道德的边缘建立起自己的“完美的世界”的，主题则是人生、自由和信仰。,,full/6ba85010666bbe0058bb5150868492d2fbfd7255.jpg,http://img31.mtime.cn/mt/2013/12/30/180041.39877079_96X128.jpg,,8.7,44,完美的世界 A Perfect World (1993),1993
,,9880,本片既是第一集的前传，也是续集。一方面，年轻的维托展现出前辈教父的创业史，另一方面，迈克作为新一代将黑手党家族现代化。,,full/39fb6cabf798f69e2dc67706ff253a863ec9b8cc.jpg,http://img31.mtime.cn/mt/2015/07/22/095736.99846727_96X128.jpg,,8.9,18,教父2 The Godfather: Part II (1974),1974
,,7556,法国导演雅克·贝汉与雅克·克鲁佐德深入探索这个覆盖着地球表面的四分之三的“蓝色领土”，完整地呈现海洋的壮美辽阔。,,full/b85fd7f8bad8ba1357036ae9c087c3586bea747e.jpg,http://img31.mtime.cn/mt/2016/09/07/171052.22583695_96X128.jpg,,8.9,19,海洋 Océans (2009),2009
,,63259,1947年，年轻有为的大银行副总裁安迪（蒂姆·罗宾斯 饰）因涉嫌枪杀妻子和与之偷情的高尔夫球教练被判处两个无期徒刑，他将在..,,full/1b963aee2bceabe32c7cd53baf29a93ee0de8aa8.jpg,http://img31.mtime.cn/mt/2014/03/07/123549.37376649_96X128.jpg,,9.2,1,肖申克的救赎 The Shawshank Redemption (1994),1994
,,70234,本片被定义为“发生在意识结构内的当代动作科幻片”，诺兰继《黑暗骑士》后再次给我们带来惊喜，带观众游走于梦境与现实之间。,,full/cd7e9d3ff937e1e70a434725f6360d2b34613b56.jpg,http://img31.mtime.cn/mt/2014/01/06/105446.89493583_96X128.jpg,,9.1,2,盗梦空间 Inception (2010),2010
,,52301,他是一个占据着成年人躯体的幼童、一个圣贤级的傻子、一个超越真实的普通人、一个代表着民族个性的小人物。,,full/0c18abadca377fcae2bcf8c2b14a57bd71b89365.jpg,http://img31.mtime.cn/mt/2014/06/17/145457.44209161_96X128.jpg,,9.1,3,阿甘正传 Forrest Gump (1994),1994
,,35871,一个名叫卡尔的老人，一生都梦想着能环游世界。在他生命的最后阶段，仿佛在命运的安排下，与8岁的罗素一同踏上了冒险的旅程。,,full/2690d4f3a81f062f9b924b496fde12543c7b8993.jpg,http://img31.mtime.cn/mt/2014/03/16/170353.61991681_96X128.jpg,,8.6,45,飞屋环游记 Up (2009),2009
,,33047,一个现代灰姑娘的童话，镜头底下的巴黎是比明信片更加明媚的世外桃源，把少女的悸动和憧憬化成一幕幕迷人的画卷。,,full/8686732e74e52a3bb8ea883fc609b2239bcb04a6.jpg,http://img21.mtime.cn/mt/2012/02/14/111655.86253293_96X128.jpg,,8.6,46,天使爱美丽 Amelie (2001),2001
,,19779,霍比特人弗罗多和他的朋友山姆，继续前往魔多山要完成摧毁魔戒的任务，一场魔戒圣战即将展开……,,full/a765f8290777c40ad2fdac5ca22a6b955b68ab0e.jpg,http://img5.mtime.cn/mt/2016/12/30/161051.34765047_96X128.jpg,,8.6,47,魔戒二部曲：双塔奇兵 The Lord of the Rings: The Two Towers (2002),2002
,,3304,黑泽明第一部真正加入西片趣味的时代剧，描写日本战国时代，贫穷百姓为保卫家园，与雇来的七位武士联手击退强盗的故事。,,full/27a949bac5a3e8757ec19385eaac856b9ce3bb05.jpg,http://img31.mtime.cn/mt/2014/04/25/203141.15149920_96X128.jpg,,8.9,20,七武士 The Seven Samurai (1954),1954
,,24527,德国投机商人辛德勒为了赚钱，在自己的工厂中使用廉价的犹太人。面对纳粹的屠杀，辛德勒开始想法保护尽可能多的犹太人。,,full/2d631d31f37fc9babd2b6b5235af1b83dce1b8ed.jpg,http://img31.mtime.cn/mt/2013/11/29/102947.25583478_96X128.jpg,,9.1,4,辛德勒的名单 Schindler's List (1993),1993
,,22213,1945年夏天，美国本部黑手党科莱昂家族首领，“教父”维托·唐·科莱昂为小女儿康妮举行了盛大的婚礼。“教父”有三个儿子：好..,,full/661c8f4ffce55ba584178a92bc89b412e7339832.jpg,http://img31.mtime.cn/mt/2013/12/23/133539.17727433_96X128.jpg,,9.1,5,教父 The Godfather (1972),1972
,,8171,日本的太地町是一个风光秀丽的美丽海湾，然而每年这里有23000头海豚被日本渔民捕杀。本片对这一残忍的行为进行谴责。,,full/658ff60cdba0f0af0e08071a48e0aef6a19746f2.jpg,http://img31.mtime.cn/mt/2016/07/28/145303.88789702_96X128.jpg,,9.1,6,海豚湾 The Cove (2009),2009
,,44772,虽然是姜文导演的商业作品，但紧张的节奏，幽默的对白，丰富的想象力，使电影仍然被贴着醒目的标签——姜文制造。,,full/79a9d9526f54950e565369fbb9cd27fb692623e3.jpg,http://img21.mtime.cn/mt/2010/11/23/102316.52177023_96X128.jpg,,8.5,71,让子弹飞 Let The Bullets Fly (2010),2010
,,6144,通过一对母子各自的“瘾”，表现了生活中存在的形形色色的不良追求。导演达伦·阿罗诺夫斯以其大胆探索的表现方式闻名，本片令..,,full/89706db095ad55b1faf99d1220995f91882a94b0.jpg,http://img31.mtime.cn/mt/2014/02/22/234526.98936381_96X128.jpg,,8.6,61,梦之安魂曲 Requiem for a Dream (2000),2000
,,5833,悲剧性、戏剧性、寓言性和实在性多种元素，在中岛哲也的影像世界中融为一体，这是一个名叫松子的女人看似不幸的幸福故事。,,full/053f86371ae38cf506d0ea9148f974ed8be9744b.jpg,http://img31.mtime.cn/mt/2014/02/23/033724.51239358_96X128.jpg,,8.6,62,被嫌弃的松子的一生 Memories of Matsuko (2006),2006
,,18985,《低俗小说》由“文森特和马沙的妻子”、“金表”、“邦妮的处境”三个故事以及影片首尾的序幕和尾声五个部分组成。　　盗贼“..,,full/07aa638f51dacacb1819bbc2b067bf73b7eddaa3.jpg,http://img31.mtime.cn/mt/2014/02/22/224328.35081501_96X128.jpg,,8.6,48,低俗小说 Pulp Fiction (1994),1994
,,17757,小男孩安弟长大成人，准备离家前往大学，他妈妈错把玩具送到幼儿园。玩具们惨遭蹂躏，于是它们决定展开一个伟大的逃跑计划。,,full/916c1d695077ef16783de23d5a8571e0c8d86de6.jpg,http://img31.mtime.cn/mt/2016/09/02/155737.19712583_96X128.jpg,,8.6,49,玩具总动员3 Toy Story 3 (2010),2010
,,15919,女孩朱莉小时候就喜欢男孩布莱斯，不过布莱斯并不喜欢她。随着年龄的增长，布莱斯觉得朱莉很有魅力，朱莉反而觉得他很空洞……,,full/33a16493f841e96cea00373f65d191992ce44a63.jpg,http://img21.mtime.cn/mt/2011/01/02/002740.33762853_96X128.jpg,,8.6,50,怦然心动 Flipped (2010),2010
,,52798,WALL·E已经在地球上孤独地生活几百年了，他爱上了自己遇见的第一个机器人伊芙，并跟随着她展开了一场充满奇幻的太空之旅。,,full/863ecc9030a0843c0fd2a54fe82b64d6d5b9a886.jpg,http://img31.mtime.cn/mt/2013/11/20/172527.42989246_96X128.jpg,,9.0,7,机器人总动员 WALL·E (2008),2008
,,51924,本片是吕克·贝松在好莱坞执导的第一部作品，非同一般的剧情、人物的精彩演出及出色的配乐使其成为九十年代动作片的经典之作。,,full/50001ab0fd4d4f46c07397a29e1d09cc279f5c96.jpg,http://img31.mtime.cn/mt/2014/09/12/102734.13658001_96X128.jpg,,9.0,8,这个杀手不太冷 Léon (1994),1994
,,31872,继续以拯救生命、打击犯罪为己任的“蝙蝠侠”，遭遇到了最具威胁性的对手“小丑”，一个喜欢将自己的脸上涂满了油彩的犯罪专家。,,full/a4e2cfcaabad3c5f89e0300bfe28f30913707ac0.jpg,http://img31.mtime.cn/mt/2014/02/23/035905.95742424_96X128.jpg,,9.0,9,蝙蝠侠：黑暗骑士 The Dark Knight (2008),2008
